kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
5985713,1,,8.95294,5.95619e-05,134.338,0.00516817,0.8995,0.5293,2.963,0.411,43.03,3.705,12.1,0.9319,0.4298,1010.0,79.3,,,6047.0,128.0,4.27,0.14,1.207,0.182,PC
11718839,2,,0.538091,1.05452e-05,131.651,0.00174524,0.2724,14.22,1.07,0.2694,54.36,7.423,12.32,2.364,1.677,5140.0,840.0,,,8443.0,335.0,3.75,0.27,3.127,0.99,AFP
3002478,1,,6.35706,1.76784e-05,135.477,0.00199165,0.7626,1.243,1.369,0.2007,263.1,18.3,17.16,1.706,0.8034,990.0,208.0,,,5982.0,193.0,4.49,0.29,0.96,0.399,PC
9222942,2,,0.546001,3.70618e-05,131.766,0.00636972,0.9478,0.03392,1.4,0.396,25.08,8.363,2.825,1.284,0.2139,3770.0,809.0,,,7232.0,327.0,3.98,0.24,2.107,0.885,UNK
7207520,1,,2.90226,7.35356e-05,132.72,0.0157887,0.001689,4642.0,12.02,26.8,36.6,19.51,8.296,0.5588,1.01,1230.0,263.0,,,5745.0,189.0,4.5,0.3,0.936,0.397,UNK
8842494,4,,0.598619,0.922581,131.803,252.689,0.452,2858.0,1.736,2341.0,0.001077,11.47,0.0001087,0.0151,80.71,4920.0,2790.0,,,7021.0,297.0,3.45,0.41,4.457,2.082,UNK
7430876,1,,32.6122,0.000208099,144.552,0.00616977,0.9839,0.1346,2.794,0.3096,1328.0,90.97,20.82,5.984,8.53,570.0,0.00121,,,5780.0,0.0,4.44,0.0,1.0,0.0,AFP
7549852,2,,0.562312,6.03507e-06,131.68,0.00071384,0.1,16.17,1.5,0.2353,232.5,17.95,18.7,3.649,1.09,3840.0,696.0,,,7068.0,288.0,3.89,0.27,2.365,0.834,AFP
10347481,1,,1.71524,2.33268e-05,131.7,0.00472608,0.6408,1.202,3.617,0.5631,27.23,4.11,6.853,0.9932,0.2225,2400.0,720.0,,,7292.0,339.0,4.11,0.34,1.797,1.064,AFP
12254378,1,,2.03228,5.41999e-06,132.333,0.00122916,0.3206,6.202,1.685,0.08944,301.2,16.11,23.87,1.844,0.836,1540.0,363.0,,,6156.0,222.0,4.44,0.3,1.05,0.489,PC
7102316,3,,142.544,0.00255266,202.882,0.0121616,0.7582,0.7542,8.953,1.511,848.7,68.61,12.31,2.67,0.8259,317.0,70.2,,,5646.0,164.0,4.55,0.29,0.841,0.369,PC
5773121,1,,0.524187,3.99927e-06,131.598,0.000617138,0.5678,1.311,1.183,0.1257,219.9,11.33,30.69,1.426,0.4216,2040.0,338.0,,,5396.0,155.0,4.49,0.23,0.93,0.303,PC
10122937,1,,532.185,0.00572182,232.082,0.00669356,0.1663,36.58,3.273,0.5039,203.4,48.78,4.281,1.522,1.899,246.0,48.0,,,6106.0,170.0,4.37,0.26,1.064,0.411,UNK
6761539,2,,1.14251,1.77428e-05,131.78,0.00668567,0.07915,64.63,3.436,2.222,225.2,28.21,12.66,2.962,2.498,2900.0,845.0,,,7488.0,323.0,4.08,0.34,1.943,1.12,AFP
3869014,1,,8.63847,2.90522e-05,139.946,0.00266535,0.1908,15.58,5.428,0.5038,438.4,13.43,33.37,2.076,1.277,937.0,198.0,,,6178.0,201.0,4.47,0.29,0.988,0.413,PC
4278221,1,,1.3406,1.79981e-06,132.244,0.000342022,0.9,0.1095,1.597,0.01995,109.4,2.571,56.51,1.414,0.1458,1800.0,186.0,,,6007.0,132.0,4.38,0.15,1.138,0.231,PC
2695030,1,,0.678443,1.18675e-05,131.959,0.00598063,0.9136,0.5239,2.102,4.651,94.85,13.08,9.163,1.994,0.9016,3240.0,1020.0,,,7318.0,319.0,4.13,0.35,1.748,1.085,AFP
9405865,1,,2.68821,2.54269e-05,133.47,0.00510516,0.02564,128.8,8.905,5.192,39.03,3.795,11.7,0.9383,0.5263,1880.0,674.0,,,7201.0,320.0,4.24,0.4,1.484,1.054,NTP
9540295,1,,3.38355,4.84166e-05,133.355,0.00807796,0.8789,0.1928,9.956,4.14,40.19,4.409,9.05,1.108,0.1493,1700.0,540.0,,,6859.0,272.0,4.2,0.35,1.525,0.964,NTP
9700145,3,,1.37528,1.17839e-05,132.531,0.00373185,0.5,7.246,3.923,2.729,259.0,24.02,13.1,3.701,3.324,3030.0,546.0,,,7832.0,312.0,3.98,0.21,2.227,0.783,UNK
9579641,2,,7.12595,1.16561e-05,131.879,0.0011909,0.02104,79.13,2.871,0.09098,188.1,4.269,45.08,1.477,0.5497,997.0,87.2,,,5779.0,115.0,4.34,0.12,1.087,0.185,PC
8804397,1,,60.0853,0.000222678,153.257,0.00277059,0.7508,0.3481,6.957,0.3627,429.9,10.48,39.95,2.358,0.3028,485.0,51.5,,,6028.0,141.0,4.46,0.17,1.047,0.217,PC
8330312,1,,0.56433,1.31611e-05,131.536,0.00199317,0.003723,1024.0,2.071,1.715,56.88,10.39,7.857,1.153,0.763,3130.0,1200.0,,,7108.0,334.0,4.24,0.42,1.51,1.148,UNK
3836399,1,,1.54036,2.04251e-06,132.014,0.000467162,0.9235,0.03196,1.956,0.05946,565.5,14.2,52.86,2.17,0.1123,1210.0,107.0,,,4911.0,156.0,4.56,0.67,0.724,0.12,AFP
10415502,1,,0.739354,8.34357e-06,131.844,0.00239638,0.2987,8.673,2.508,1.47,35.34,3.993,12.03,0.904,0.4365,2870.0,1210.0,,,7209.0,330.0,4.27,0.47,1.489,1.252,AFP
9965691,1,,15.6848,0.000167545,133.001,0.00835583,0.9996,0.002336,27.97,0.1845,740.1,11.12,68.33,6.076,0.2012,844.0,226.0,,,6418.0,230.0,4.39,0.31,1.171,0.621,UNK
4544684,1,,2.18905,1.43782e-05,132.107,0.00353244,0.1337,54.27,2.466,0.199,85.55,8.881,11.32,0.8265,1.214,1400.0,294.0,,,6077.0,183.0,4.53,0.3,0.891,0.371,AFP
3453272,2,,0.753926,1.89217e-05,131.756,0.00256521,0.1,47.02,2.489,2.097,41.94,8.461,7.25,0.9775,0.7932,2870.0,826.0,,,7118.0,304.0,4.21,0.32,1.489,0.846,AFP
6132064,2,,5.77605,5.8621e-05,133.185,0.00747331,0.6312,1.063,15.44,3.061,50.79,4.98,10.51,1.186,0.2359,1440.0,463.0,,,6853.0,278.0,4.18,0.36,1.577,1.009,AFP
8038388,1,,459.3,0.00804131,260.246,0.0129487,0.6336,6.955,2.941,1.006,307.6,49.31,7.945,1.778,2.751,241.0,50.7,,,6022.0,168.0,4.48,0.29,0.964,0.402,NTP
5880320,4,,20.4966,0.000215289,147.454,0.00874853,0.3125,14.3,6.402,0.761,201.3,17.42,11.93,2.088,2.085,843.0,79.4,,,6021.0,124.0,4.09,0.15,1.458,0.268,PC
10601284,1,,5.34955,7.54269e-06,134.361,0.00104876,0.002783,886.6,2.914,0.3059,806.6,17.77,52.99,2.258,1.312,918.0,171.0,,,5559.0,167.0,4.57,0.24,0.806,0.297,PC
3847907,1,,3.5732,7.69443e-07,134.934,0.000141483,0.6224,0.08184,2.966,0.03758,3660.0,10.92,379.4,6.828,0.1408,1210.0,241.0,,,5646.0,199.0,4.37,0.26,1.08,0.424,AFP
11080961,1,,459.305,0.00755696,260.234,0.0126987,0.8471,1.306,3.06,1.8,359.7,81.31,5.134,3.644,2.475,353.0,109.0,,,7022.0,274.0,4.13,0.35,1.703,1.04,NTP
5641294,3,,6.54079,7.53944e-05,132.393,0.00845252,0.05378,72.32,14.08,3.756,48.58,4.857,12.36,0.9959,0.7121,1290.0,372.0,,,6645.0,278.0,4.23,0.32,1.42,0.814,AFP
8652213,2,,0.504052,1.32545e-05,131.721,0.00261859,0.0005483,12050.0,1.82,2.608,13.97,214.7,10.45,0.8838,0.9796,4040.0,903.0,,,7331.0,318.0,3.95,0.26,2.329,1.022,AFP
9450647,1,,9.94066,6.45736e-06,135.216,0.000507803,0.8111,0.07502,4.057,0.08573,525.2,3.539,148.3,3.198,0.1129,990.0,127.0,,,6204.0,132.0,4.32,0.17,1.254,0.316,PC
11923562,2,,0.739472,1.06817e-05,131.618,0.00139932,0.2848,6.828,2.146,0.6295,86.76,13.28,7.633,1.401,0.4994,2900.0,997.0,,,7191.0,318.0,4.23,0.38,1.473,1.005,AFP
8264494,4,,0.75388,0.0,131.98,0.0,0.1,0.0,2.5,0.0,131.8,0.0,-1.0,3.745,0.0,4470.0,0.0,,,8083.0,326.0,3.73,0.29,3.228,1.119,UNK
8356054,4,,17.0813,0.0,142.354,0.0,0.1,0.0,12.5,0.0,32950.0,0.0,-1.0,12.79,0.0,587.0,0.0,,,5441.0,219.0,4.62,0.17,0.712,0.211,AFP
3867794,1,,0.988489,9.16729e-06,131.844,0.00212807,0.1,74.7,1.405,0.1682,181.6,23.85,10.74,1.321,2.395,1780.0,344.0,,,5749.0,201.0,4.49,0.28,0.991,0.377,AFP
2307415,2,,13.1216,4.15948e-05,133.394,0.00256463,0.1,24.99,3.504,0.1879,199.2,6.838,29.08,1.801,0.9341,914.0,105.0,,,6140.0,135.0,4.26,0.15,1.277,0.289,PC
8905010,2,,3.58478,3.26563e-05,134.923,0.00587058,0.8134,0.2486,6.838,0.7155,8.552,0.7347,11.73,1.364,0.151,2720.0,546.0,,,7244.0,282.0,3.5,0.33,4.199,1.657,AFP
6936261,1,,0.527396,0.000260938,131.812,0.0509004,0.2933,46.98,1.461,3.243,1.129,3.598,0.4712,0.1265,0.4279,2600.0,663.0,,,6175.0,191.0,4.31,0.29,1.176,0.595,UNK
8381592,1,,2.89208,3.65444e-07,133.197,8.70087e-05,0.7051,0.002847,3.563,0.007565,45750.0,87.82,1971.0,21.36,0.0363,1230.0,252.0,,,5622.0,173.0,4.44,0.26,0.924,0.375,UNK
6234144,1,,0.64756,1.29358e-05,132.059,0.00388312,0.8854,1.207,1.873,5.084,57.53,8.669,9.152,0.7421,0.6246,2160.0,469.0,,,6257.0,202.0,4.51,0.3,0.847,0.364,UNK
8653134,1,,5.34263,5.60712e-06,134.382,0.000718687,0.1035,11.06,2.47,0.1106,676.9,15.95,46.67,1.699,0.5131,797.0,70.6,,,5094.0,192.0,4.63,0.08,0.667,0.107,PC
8645191,2,,0.68918,1.0212e-05,132.149,0.00149907,0.3,16.55,0.9713,0.09253,137.5,17.31,13.13,0.9971,1.245,1880.0,385.0,,,5665.0,165.0,4.55,0.28,0.843,0.342,AFP
5358241,2,,38.5574,0.00014077,163.857,0.00294601,0.7051,0.5303,5.249,0.4329,944.7,27.17,35.66,3.11,0.4697,550.0,107.0,,,6079.0,199.0,4.5,0.28,0.945,0.364,PC
8379705,1,,11.1298,5.8823e-05,138.569,0.00414576,0.2391,19.66,2.794,0.4886,416.4,29.5,14.53,1.978,1.994,843.0,164.0,,,6122.0,214.0,4.49,0.28,0.964,0.369,PC
5351250,4,,3.42802,1.18141e-05,132.373,0.0022073,0.0001928,8131.0,2.38,0.0943,193.8,359.3,17.45,1.253,0.4742,1130.0,109.0,,,5559.0,105.0,4.47,0.15,0.914,0.173,PC
8216910,1,,0.970056,9.26509e-06,131.971,0.00294098,0.2755,9.36,5.437,8.626,27.8,2.01,15.68,0.687,0.3669,2240.0,814.0,,,6502.0,230.0,4.34,0.41,1.29,0.931,UNK
12020590,3,,1.66867,3.13952e-05,132.828,0.0118273,0.927,0.06297,4.89,1.898,12.72,0.6858,19.35,1.4,0.08924,3520.0,579.0,,,8226.0,335.0,3.72,0.27,3.299,1.051,UNK
9289704,3,,0.71681,7.55218e-06,131.901,0.00243732,0.3,10.34,2.926,2.917,101.8,8.997,16.61,5.692,3.587,5530.0,1360.0,,,7818.0,301.0,3.37,0.43,5.555,2.699,AFP
4569590,1,,41.3709,8.95684e-05,166.465,0.00184461,0.8347,0.004818,12.09,0.07215,4381.0,109.1,48.11,52.46,0.6929,1130.0,252.0,,,4764.0,128.0,2.78,0.35,6.883,3.036,AFP
10293818,2,,0.509096,6.62008e-06,131.535,0.00143988,0.9006,0.4523,1.374,1.236,219.8,18.44,19.29,4.387,1.514,4430.0,906.0,,,7872.0,317.0,3.92,0.25,2.542,1.02,AFP
7959579,1,,0.827442,7.83992e-06,132.34,0.001638,0.3013,3.3,1.48,0.09965,5.752,0.5871,13.01,0.5183,0.09678,3440.0,960.0,,,7771.0,305.0,4.04,0.33,2.108,1.165,UNK
10802820,1,,0.760165,9.68384e-06,131.778,0.00235704,0.4804,1.623,2.551,0.6279,16.91,1.94,10.61,1.043,0.1909,3880.0,666.0,,,7974.0,314.0,3.93,0.21,2.452,0.819,NTP
10604335,2,,92.7501,0.00121385,173.272,0.0110223,0.9886,0.1349,7.334,0.7387,1236.0,104.8,12.33,3.582,5.287,239.0,9.02,,,4123.0,98.0,4.68,0.04,0.578,0.034,PC
7538950,1,,0.654396,8.59268e-06,131.61,0.00174468,0.9064,0.3772,1.64,1.341,104.8,11.95,12.37,5.503,1.543,5920.0,1600.0,,,8763.0,367.0,3.48,0.5,4.625,2.463,AFP
5980061,1,,0.630529,1.08178e-05,132.0,0.00183449,0.3,14.14,1.089,0.215,89.1,12.7,10.56,0.8442,0.9838,1940.0,369.0,,,5458.0,177.0,4.48,0.25,0.894,0.336,AFP
6934045,1,,265.743,0.00490248,167.052,0.0167057,0.683,0.6703,18.08,0.9388,255.2,25.06,10.2,2.519,0.4224,375.0,105.0,,,6543.0,248.0,4.2,0.31,1.48,0.822,PC
5978295,1,,0.51728,7.14413e-06,131.583,0.00196526,0.7,1.336,1.587,0.8387,49.85,4.777,15.8,1.245,0.3772,3390.0,1330.0,,,7226.0,334.0,4.19,0.43,1.643,1.282,AFP
8881697,1,,1.30253,5.20736e-05,131.696,0.0299206,0.9893,0.006627,1.825,0.3296,25.83,3.253,8.618,1.699,0.1465,3240.0,617.0,,,7932.0,302.0,3.93,0.23,2.475,0.924,NTP
4743188,2,,1.16501,1.32735e-05,131.997,0.00511048,0.8447,0.9871,3.895,6.798,36.6,3.608,12.26,0.6828,0.3795,1810.0,409.0,,,6108.0,193.0,4.47,0.31,0.997,0.447,AFP
10491554,2,,22.7718,0.0,133.847,0.0,0.1,0.0,7.5,0.0,139800.0,0.0,-1.0,58.54,0.0,835.0,0.0,,,6049.0,209.0,4.07,0.29,1.557,0.736,AFP
7826659,1,,211.034,0.000576991,279.127,0.0020339,0.5845,0.3418,6.862,0.2331,1961.0,38.85,51.16,3.181,0.3079,218.0,7.37,,,4664.0,94.0,4.61,0.03,0.701,0.038,PC
6929285,1,,4.60685,3.99918e-05,135.2,0.00624884,0.8627,1.003,4.065,0.4694,126.0,12.73,10.91,1.005,0.7341,951.0,199.0,,,5529.0,171.0,4.58,0.25,0.776,0.321,AFP
8653100,1,,0.620944,7.92357e-06,131.514,0.00315201,0.3,20.25,2.167,2.993,117.3,15.18,12.62,3.022,3.644,3820.0,860.0,,,6728.0,255.0,3.76,0.37,2.74,1.215,AFP
11706518,3,,3.4674,0.000154586,133.246,0.0342848,1.0,0.0396,3.966,0.7961,41.83,58.03,7.834,1.539,4.36,1500.0,308.0,,,6799.0,205.0,4.36,0.26,1.172,0.477,UNK
11391181,1,,8.61734,2.03823e-07,139.069,1.88588e-05,0.8983,0.02006,4.052,0.002548,187000.0,61.11,4141.0,56.86,1.401,796.0,153.0,,,5387.0,186.0,4.48,0.25,0.87,0.328,AFP
4949825,1,,1.56409,1.77289e-05,133.036,0.00614469,0.8682,0.604,4.918,6.055,64.98,5.359,12.87,0.8847,0.3603,1590.0,245.0,,,6045.0,183.0,4.49,0.23,0.955,0.288,AFP
6525185,1,,1.71031,7.33761e-06,131.612,0.00206201,0.0001666,11720.0,2.601,0.1227,210.8,165.2,19.25,1.294,0.5687,1450.0,300.0,,,5790.0,179.0,4.53,0.29,0.9,0.368,AFP
10341831,1,,0.933761,5.21728e-06,131.512,0.00167775,0.7115,1.874,2.6,1.553,111.5,7.213,20.18,0.5426,0.3439,921.0,59.6,,,3684.0,62.0,4.78,0.07,0.48,0.06,AFP
4851182,1,,371.176,0.0,412.65,0.0,0.1,0.0,3.5,0.0,286700.0,0.0,-1.0,62.04,0.0,287.0,0.0,,,6343.0,292.0,4.41,0.3,1.137,0.565,NTP
8266276,1,,0.837887,5.31277e-06,131.99,0.00135131,0.5011,3.402,1.806,0.3092,444.3,34.44,18.81,1.691,1.238,1480.0,972.0,,,4748.0,186.0,4.53,0.76,0.797,1.046,AFP
3864417,3,,0.636828,1.0811e-05,131.911,0.00238507,0.9,0.3357,1.299,0.1327,1300.0,204.3,16.73,7.456,2.208,3230.0,1100.0,,,7084.0,278.0,4.12,0.38,1.772,1.197,AFP
8265528,1,,0.606014,9.84455e-06,131.916,0.00224054,0.2732,9.697,2.042,1.166,36.08,4.917,10.47,0.8619,0.4459,2890.0,869.0,,,6792.0,263.0,4.25,0.34,1.411,0.843,UNK
12120307,1,,8.00507,4.61757e-05,138.71,0.00449742,0.06945,63.43,3.39,0.3015,196.4,13.63,15.22,1.624,1.382,1060.0,296.0,,,6426.0,258.0,4.37,0.32,1.154,0.636,PC
9886221,1,,2.99266,1.13738e-05,131.889,0.00218081,0.7308,0.9793,1.735,0.1058,103.2,8.208,15.45,0.9406,0.3245,1170.0,223.0,,,5713.0,153.0,4.55,0.27,0.856,0.324,AFP
10923282,1,,10.9241,0.000267459,132.892,0.0198191,0.4518,5.343,15.98,1.774,33.76,3.89,8.649,0.512,0.3042,808.0,175.0,,,6063.0,165.0,4.54,0.31,0.861,0.37,AFP
7869917,1,,7.71468,1.03207e-05,133.558,0.000996005,0.7003,0.3897,4.308,0.103,219.7,6.358,34.37,2.299,0.2152,1260.0,475.0,,,6915.0,247.0,4.26,0.42,1.448,1.091,PC
5648425,1,,3.38864,3.10484e-05,133.588,0.00551107,0.2486,4.271,12.65,3.593,5.027,0.561,9.21,0.6365,0.1146,2820.0,446.0,,,9005.0,381.0,3.84,0.25,2.773,0.845,NTP
11133190,2,,2.03726,2.30305e-05,133.105,0.00745273,0.01059,990.1,3.762,1.677,105.4,13.07,9.083,3.086,5.866,3020.0,502.0,,,7807.0,313.0,3.76,0.27,2.985,0.962,AFP
9368220,1,,0.658375,2.39807e-05,131.555,0.00770798,0.9107,0.7792,1.965,5.747,74.78,18.59,4.544,1.735,1.18,3070.0,973.0,,,6883.0,229.0,4.13,0.36,1.709,1.076,AFP
5385150,2,,12.4237,0.000423939,134.163,0.0309564,0.03683,192.5,18.16,2.565,128.7,12.28,11.01,0.989,1.675,725.0,149.0,,,5593.0,181.0,4.51,0.28,0.886,0.36,AFP
6707942,2,,9.01421,6.29925e-06,135.588,0.000572684,0.9382,0.004298,2.687,0.04073,1584.0,20.97,95.03,3.785,0.05021,661.0,45.7,,,4842.0,185.0,4.57,0.06,0.73,0.084,AFP
6922244,1,,3.5225,1.63653e-07,131.687,3.05886e-05,0.7078,0.003341,3.249,0.004523,9200.0,6.017,1693.0,14.95,0.0161,1520.0,77.9,,,6225.0,158.0,4.17,0.06,1.451,0.129,PC
3230753,1,,17.7337,0.000225616,143.93,0.0106596,0.9891,0.03929,6.949,0.6196,251.1,21.8,14.78,2.181,1.824,597.0,99.4,,,5335.0,164.0,4.56,0.22,0.831,0.272,AFP
5821165,2,,0.9033,1.0868e-05,132.206,0.00427334,0.02566,284.6,3.406,5.857,27.26,3.562,9.745,0.6601,0.9803,2230.0,492.0,,,6047.0,179.0,4.22,0.24,1.266,0.554,NTP
7974853,1,,7.09092,8.00163e-05,138.269,0.00838216,0.08283,46.22,16.33,5.229,26.28,1.979,13.83,1.238,0.805,1800.0,414.0,,,7906.0,307.0,3.97,0.28,2.386,1.085,AFP
9909735,1,,4.66272,1.26104e-06,134.082,0.000172145,0.6911,0.1012,2.84,0.04686,1605.0,7.612,219.9,4.009,0.1286,1040.0,102.0,,,5729.0,126.0,4.51,0.16,0.939,0.18,PC
6878288,2,,1.5198,2.46854e-05,132.483,0.00590959,0.9042,0.5737,2.434,0.2951,298.6,54.69,7.59,5.119,1.793,4050.0,1020.0,,,10906.0,457.0,4.06,0.32,2.585,1.279,UNK
11295805,4,,2.05758,2.87998e-05,131.634,0.0182185,0.8996,0.3265,5.772,5.556,25.21,2.792,10.29,0.8873,0.2225,2040.0,488.0,,,6823.0,219.0,4.13,0.26,1.52,0.721,AFP
9529733,1,,2.40457,0.0,131.671,0.0,0.1,0.0,6.0,0.0,37810.0,0.0,-1.0,22.46,0.0,1590.0,0.0,,,6452.0,266.0,4.38,0.35,1.148,0.71,AFP
3425851,1,,110.379,0.00017691,175.931,0.00128799,0.4993,0.3304,12.34,0.1528,509.0,8.053,63.36,3.175,0.1403,470.0,7.73,,,6343.0,85.0,4.26,0.01,1.366,0.026,PC
7032938,1,,0.566801,0.0,131.788,0.0,0.1,0.0,2.0,0.0,3014.0,0.0,-1.0,5.467,0.0,2310.0,0.0,,,6137.0,207.0,4.47,0.25,0.994,0.33,NTP
12404305,1,,22.1833,4.67952e-05,147.313,0.00175786,0.7027,0.4141,5.233,0.2825,754.4,12.0,65.61,3.022,0.4157,646.0,57.2,,,5565.0,107.0,4.36,0.12,1.03,0.178,PC
7118545,1,,14.7971,0.0,144.701,0.0,0.1,0.0,6.0,0.0,257100.0,0.0,-1.0,45.61,0.0,788.0,0.0,,,6343.0,202.0,4.5,0.3,0.931,0.375,AFP
8817159,1,,1.05303,1.26538e-05,132.219,0.00406471,0.1,67.8,3.355,3.856,21.86,3.047,9.993,0.8902,1.02,2850.0,919.0,,,7276.0,324.0,4.1,0.36,1.877,1.197,NTP
10551707,1,,7.35855,4.1174e-05,136.237,0.00411642,0.09762,20.93,15.13,1.595,141.3,12.96,13.21,1.588,0.5861,1190.0,320.0,,,6540.0,216.0,4.26,0.3,1.328,0.709,NTP
2860930,1,,459.269,0.00666718,260.303,0.009797,0.6154,12.81,2.881,3.292,1084.0,259.1,5.081,2.546,8.194,194.0,22.7,,,5335.0,159.0,4.61,0.14,0.742,0.168,NTP
2853280,3,,1.30019,1.05929e-05,132.291,0.00255763,0.1866,12.17,4.411,1.969,64.29,6.022,12.06,3.281,1.369,3820.0,709.0,,,7543.0,306.0,3.58,0.27,4.04,1.464,AFP
10552016,2,,1.50896,1.6398e-05,132.018,0.00587256,0.6363,4.212,6.188,11.86,161.2,15.89,11.04,0.6997,0.7084,851.0,52.7,,,3847.0,92.0,4.72,0.07,0.526,0.06,UNK
8509442,1,,82.6589,0.000485069,152.678,0.00495546,0.006678,755.5,3.407,1.03,1364.0,100.7,16.06,1.996,2.52,233.0,17.8,,,3952.0,93.0,4.72,0.07,0.55,0.08,PC
3343866,1,,0.555968,8.64562e-06,131.973,0.0014659,0.9038,0.4476,1.128,0.7211,46.9,5.343,14.05,1.741,0.7957,3050.0,945.0,,,5445.0,197.0,3.78,0.59,2.117,1.303,UNK
